future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
May-2043	0	0	0	0	0	5608230.16201341	0	3767782.47609413	0	0	0
Jun-2043	0	0	0	0	0	2895330.04493558	0	1289717.84682214	0	0	0
Jul-2043	0	0	0	0	0	1088279.53287753	0	66182.7670803405	0	0	0
Aug-2043	0	0	0	0	0	1273957.72354524	0	73304.2959255733	0	0	0
Sep-2043	0	0	0	0	0	1355206.01693036	0	91928.6357217529	0	0	0
Oct-2044	0	0	0	0	0	568314.866009851	0	121922.220389657	0	0	0
Nov-2044	0	0	0	0	0	345526.252125164	0	69105.2504250329	0	0	0
Dec-2044	0	0	0	0	0	841037.903672274	0	169299.837752212	0	0	0
Jan-2044	0	0	0	0	0	667858.701867613	0	133571.740373523	0	0	0
Feb-2044	0	0	0	0	0	574236.557560373	0	114847.311512075	0	0	0
Mar-2044	0	0	0	0	0	558639.811861877	0	111727.962372376	0	0	0
Apr-2044	0	0	0	0	0	272589.115862577	0	54889.9584842733	0	0	0
May-2044	0	0	0	0	0	341638.046207698	0	0	0	0	0
Jun-2044	0	0	0	0	0	467288.422282995	0	0	0	0	0
Jul-2044	0	0	0	0	0	413381.754631132	0	0	0	0	0
Aug-2044	0	0	0	0	0	474449.1025331	0	0	0	0	0
Sep-2044	0	0	0	0	0	569343.372142719	0	15815.0936706311	0	0	0
Oct-2045	0	0	0	0	0	590324.314408543	0	123649.01180179	0	0	0
Nov-2045	0	0	0	0	0	334966.525065683	0	66993.3050131367	0	0	0
Dec-2045	0	0	0	0	0	1165672.51820325	0	233134.503640651	0	0	0
Jan-2045	0	0	0	0	0	467691.551951724	0	93538.3103903451	0	0	0
Feb-2045	0	0	0	0	0	1006340.06281885	0	201268.01256377	0	0	0
Mar-2045	0	0	0	0	0	692172.140283454	0	138434.428056691	0	0	0
Apr-2045	0	0	0	0	0	388068.80728395	0	77613.7614567901	0	0	0
May-2045	0	0	0	0	0	503638.188231795	0	48426.7488684419	0	0	0
Jun-2045	0	0	0	0	0	389499.928933126	0	78264.0044117966	0	0	0
Jul-2045	0	0	0	0	0	488952.764885323	0	92214.7758336359	0	0	0
Aug-2045	0	0	0	0	0	408007.930386045	0	122866.024491252	0	0	0
Sep-2045	0	0	0	0	0	558113.682958577	0	125575.57866568	0	0	0
Oct-2046	0	0	0	0	0	680664.344552358	0	93241.6910345695	0	0	0
Nov-2046	0	0	0	0	0	384054.355141061	0	79186.4649775385	0	0	0
Dec-2046	0	0	0	0	0	990620.762620948	0	198124.15252419	0	0	0
Jan-2046	0	0	0	0	0	3406719.51076582	0	162349.430951177	0	0	0
Feb-2046	0	0	0	0	0	8317534.71098527	0	239056.993675494	0	0	0
Mar-2046	0	0	0	0	0	1942980.82358055	0	97149.0411790277	0	0	0
Apr-2046	0	0	0	0	0	328976.769946122	0	27414.7308288435	0	0	0
May-2046	0	0	0	0	0	388614.50254355	0	18172.6206225402	0	0	0
Jun-2046	0	0	0	0	0	435282.486133631	0	0	0	0	0
Jul-2046	0	0	0	0	0	528798.029587075	0	0	0	0	0
Aug-2046	0	0	0	0	0	604477.400928782	0	0	0	0	0
Sep-2046	0	0	0	0	0	518106.379775901	0	4934.34647405621	0	0	0
Oct-2047	0	0	0	0	0	677353.855159156	0	76766.770251371	0	0	0
Nov-2047	0	0	0	0	0	442086.287758568	0	88417.2575517139	0	0	0
Dec-2047	0	0	0	0	0	984154.771528134	0	196830.954305628	0	0	0
Jan-2047	0	0	0	0	0	619063.269693492	0	123812.653938699	0	0	0
Feb-2047	0	0	0	0	0	592266.94571659	0	118453.389143318	0	0	0
Mar-2047	0	0	0	0	0	622765.543246323	0	124553.108649265	0	0	0
Apr-2047	0	0	0	0	0	627775.648463577	0	123462.544197837	0	0	0
May-2047	0	0	0	0	0	509624.362066771	0	70293.0154574856	0	0	0
