future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Feb-2039	0	0	0	0	0	6585118.55013018	0	189265.052481443	0	0	0
Mar-2039	0	0	0	0	0	2181089.51015401	0	109054.475507701	0	0	0
Apr-2039	0	0	0	0	0	358762.457556302	0	29896.8714630252	0	0	0
May-2039	0	0	0	0	0	430482.777340144	0	20130.4895878485	0	0	0
Jun-2039	0	0	0	0	0	466980.259395496	0	0	0	0	0
Jul-2039	0	0	0	0	0	540582.621185177	0	0	0	0	0
Aug-2039	0	0	0	0	0	613665.33327458	0	0	0	0	0
Sep-2039	0	0	0	0	0	510717.25264441	0	4863.97383470867	0	0	0
Oct-2040	0	0	0	0	0	858463.269486638	0	107890.532845139	0	0	0
Nov-2040	0	0	0	0	0	914654.269431764	0	130664.895633109	0	0	0
Dec-2040	0	0	0	0	0	1031860.61476872	0	157598.197910692	0	0	0
Jan-2040	0	0	0	0	0	1030268.84809583	0	206053.769619166	0	0	0
Feb-2040	0	0	0	0	0	952630.612702988	0	190526.122540598	0	0	0
Mar-2040	0	0	0	0	0	1783551.35994103	0	157074.125449353	0	0	0
Apr-2040	0	0	0	0	0	541625.527585035	0	45366.9245327636	0	0	0
May-2040	0	0	0	0	0	589447.05275756	0	0	0	0	0
Jun-2040	0	0	0	0	0	752195.149904262	0	0	0	0	0
Jul-2040	0	0	0	0	0	844124.494063585	0	0	0	0	0
Aug-2040	0	0	0	0	0	861559.213872549	0	0	0	0	0
Sep-2040	0	0	0	0	0	1030147.0655026	0	0	0	0	0
Oct-2041	0	0	0	0	0	908715.92524448	0	142004.75706404	0	0	0
Nov-2041	0	0	0	0	0	866624.025353077	0	114459.776933426	0	0	0
Dec-2041	0	0	0	0	0	1563489.85436847	0	181274.186013737	0	0	0
Jan-2041	0	0	0	0	0	5558479.31230074	0	206239.208475552	0	0	0
Feb-2041	0	0	0	0	0	1264716.11658774	0	156172.221673458	0	0	0
Mar-2041	0	0	0	0	0	7504506.66247355	0	3770771.28065068	0	0	0
Apr-2041	0	0	0	0	0	9438321.52640101	0	11851783.2309913	0	0	0
May-2041	0	0	0	0	0	6226380.44982326	0	4183074.95780753	0	0	0
Jun-2041	0	0	0	0	0	3201744.65523276	0	1426209.50245172	0	0	0
Jul-2041	0	0	0	0	0	1120718.84074261	0	68155.5351898403	0	0	0
Aug-2041	0	0	0	0	0	1289675.42176817	0	74208.7017629944	0	0	0
Sep-2041	0	0	0	0	0	1369928.65034612	0	92927.3263910934	0	0	0
Oct-2042	0	0	0	0	0	908715.92524448	0	142004.75706404	0	0	0
